iter	Logloss
115	0.5513171078
116	0.550438613
117	0.54961601
118	0.5490498061
119	0.5480280673
120	0.5474158298
121	0.54682228
122	0.546391305
123	0.545584818
124	0.5449486207
125	0.5444489383
126	0.5439908317
127	0.5431834017
128	0.5425955097
129	0.5419388246
130	0.5414511006
131	0.5407351376
132	0.5403569682
133	0.5399570251
134	0.5398581001
135	0.539465915
136	0.5391098194
137	0.5387619533
138	0.5384638926
139	0.5376608345
140	0.5372025565
141	0.5367816539
142	0.536328005
143	0.5359753384
144	0.5354375946
145	0.535131133
146	0.5345710583
147	0.5340793052
148	0.5334755544
149	0.5330432935
150	0.5325550551
151	0.5322442644
152	0.5320591873
153	0.5317691417
154	0.5312336268
155	0.5310852394
156	0.5306721377
157	0.5302837243
158	0.5299590893
159	0.5294991825
160	0.5289815838
161	0.5285714825
162	0.5281716679
163	0.5276458397
164	0.5270516042
165	0.5267979054
166	0.5262025983
167	0.5256596683
168	0.5252384657
169	0.5251451128
170	0.524888328
171	0.5243311678
172	0.5240195199
173	0.5236642387
174	0.5230443719
175	0.5227071784
176	0.5221868794
177	0.5217454032
178	0.52154421
179	0.5211498818
180	0.5206688013
181	0.5203011331
182	0.5200144307
183	0.5196253316
184	0.5191765689
185	0.5190294244
186	0.5188018284
187	0.5183892839
188	0.5181116683
189	0.5177908908
190	0.5175793251
191	0.5173392564
192	0.5170763852
193	0.5167993267
194	0.5163513355
195	0.5158336511
196	0.5155365333
197	0.5153119377
198	0.5150839988
199	0.5149085227
200	0.5145555989
201	0.5143602778
202	0.5140079541
203	0.5136602166
204	0.5134896268
205	0.5132579161
206	0.5129605411
207	0.5124555866
208	0.5121627122
209	0.5118518786
210	0.5116730594
211	0.5114779955
212	0.511226354
213	0.510999701
214	0.5107595894
215	0.5103548028
216	0.5100576851
217	0.5098494626
218	0.5096705576
219	0.5091916202
220	0.5090374464
221	0.5088362962
222	0.5086971669
223	0.5082327596
224	0.5080715994
225	0.5076026488
226	0.507312046
227	0.5070761348
228	0.5065752522
229	0.5063966044
230	0.5061244322
231	0.5057478915
232	0.5054328147
233	0.5052177772
234	0.5050472731
235	0.5048726114
236	0.5044292493
237	0.5041899092
238	0.5037751359
239	0.5034997919
240	0.503384108
241	0.5031428819
242	0.502769213
243	0.5025831501
244	0.5023339089
245	0.5020529072
246	0.5017440453
247	0.5014404983
248	0.5012081018
249	0.5007639681
250	0.5006307538
251	0.50029086
252	0.4999882559
253	0.4996680785
254	0.4995388074
255	0.4993160976
256	0.4990731143
257	0.4988004706
258	0.4986129932
259	0.4983103034
260	0.4979986555
261	0.4977441852
262	0.4975962264
263	0.4972324157
264	0.4970891717
265	0.4967558786
266	0.4964269574
267	0.4961513991
268	0.4960194706
269	0.4956392867
270	0.4953288389
271	0.4950132049
272	0.4947330603
273	0.4946620813
274	0.4944617454
275	0.4942545944
276	0.494066817
277	0.493828077
278	0.4935539331
279	0.4933583549
280	0.4930255761
281	0.4928672019
282	0.492710885
283	0.4925510535
284	0.4923796493
285	0.4920974474
286	0.4918187174
287	0.4914740659
288	0.4910095729
289	0.4907029398
290	0.490447698
291	0.4901750543
292	0.4898556484
293	0.4895907627
294	0.4892932163
295	0.4891098965
296	0.4885657664
297	0.4882900367
298	0.4879305979
299	0.487560958
300	0.4873801242
301	0.4871230393
302	0.4869034156
303	0.4866212566
304	0.486337726
305	0.4861840666
306	0.4859145518
307	0.4855366825
308	0.4851803726
309	0.4849501192
310	0.4847637134
311	0.4847630704
312	0.4844887551
313	0.4842095536
314	0.4840268767
315	0.4837949946
316	0.4833340591
317	0.4832119888
318	0.4829887219
319	0.4827426096
320	0.4825779776
321	0.4823596397
322	0.4819849421
323	0.4817783913
324	0.4815572674
325	0.4813829486
326	0.4812807233
327	0.4809166983
328	0.480778812
329	0.4806875165
330	0.4803566236
331	0.4801177979
332	0.4799475509
333	0.4797373568
334	0.4794690421
335	0.4791036027
336	0.4788544044
337	0.4786881865
338	0.4785713453
339	0.4784673627
340	0.4784374451
341	0.4782601689
342	0.4779738951
343	0.4776364444
344	0.4773702729
345	0.4771857958
346	0.4770069765
347	0.4766668684
348	0.4765774159
349	0.476339876
350	0.4759014001
351	0.4758052183
352	0.4755065575
353	0.4754498085
354	0.4753350247
355	0.4751586057
356	0.4750632383
357	0.4748182833
358	0.4746665526
359	0.4743490755
360	0.474158855
361	0.4739329306
362	0.4736272405
363	0.47341066
364	0.4732964334
365	0.4731775777
366	0.4730992692
367	0.4728810171
368	0.4727275291
369	0.4724873318
370	0.472326943
371	0.472250049
372	0.4720036796
373	0.4718146592
374	0.4715029684
375	0.4713532523
376	0.4713500805
377	0.4711374861
378	0.471048848
379	0.4708857161
380	0.4707853339
381	0.470519248
382	0.4701797828
383	0.4699445574
384	0.4698672348
385	0.4696564406
386	0.4694423033
387	0.4693138037
388	0.4692072493
389	0.469118354
390	0.4690262012
391	0.4688112923
392	0.4686360734
393	0.4684797566
394	0.4683306405
395	0.4682226288
396	0.4679823458
397	0.4678021549
398	0.4674659472
399	0.4673278466
400	0.4669146591
401	0.4667109372
402	0.4666078975
403	0.4663760582
404	0.4662213272
405	0.4659972459
406	0.4658822478
407	0.4656754826
408	0.4655104219
409	0.465205589
410	0.4648495792
411	0.4645385742
412	0.4642795177
413	0.4637010553
414	0.4635502676
415	0.4635483817
416	0.46354641
417	0.4632681514
418	0.4630927611
419	0.46297652
420	0.4627746411
421	0.4625180705
422	0.4625085552
423	0.4623096337
424	0.4621273427
425	0.4619889849
426	0.4617262851
427	0.4616314749
428	0.461458099
429	0.4612271598
430	0.4610876876
431	0.4608570056
432	0.460548358
433	0.4603251768
434	0.4601956057
435	0.4600321738
436	0.4599611089
437	0.4598242513
438	0.459693823
439	0.4594112353
440	0.4593168109
441	0.4592479749
442	0.4591696664
443	0.4589669731
444	0.4586942866
445	0.4582776702
446	0.4580790488
447	0.4580042121
448	0.4578251356
449	0.4576257427
450	0.4573848167
451	0.4570374221
452	0.456939783
453	0.4568184413
454	0.456648323
455	0.4564953922
456	0.4563259168
457	0.4560149975
458	0.4557080644
459	0.455524016
460	0.4553492257
461	0.4551301592
462	0.4547951945
463	0.4545310803
464	0.4544064811
465	0.4542361484
466	0.4539800065
467	0.4538581934
468	0.4536099809
469	0.4534607362
470	0.4533008618
471	0.4531086268
472	0.4530423625
473	0.4530039155
474	0.4527665899
475	0.4526526633
476	0.4524398547
477	0.4522177021
478	0.4520500697
479	0.4519198986
480	0.4518125298
481	0.4516131798
482	0.4515368858
483	0.4514726789
484	0.4511242556
485	0.4509649813
486	0.4508859013
487	0.4508769003
488	0.450651876
489	0.450501817
490	0.450308639
491	0.4497546935
492	0.4496459532
493	0.4492613546
494	0.4492614403
495	0.4491592579
496	0.4489942829
497	0.4487447417
498	0.4483788308
499	0.4483105092
500	0.4480977005
501	0.4479735299
502	0.4478311432
503	0.4476558814
504	0.4474554169
505	0.4472927994
506	0.4471178376
507	0.446875883
508	0.4467749864
509	0.4464959991
510	0.4464949704
511	0.4461693924
512	0.4458882621
513	0.4457466897
514	0.445503192
515	0.4452936408
516	0.4449636909
517	0.4447592403
518	0.4446084955
519	0.4443096632
520	0.4441905504
521	0.444079967
522	0.4438927468
523	0.4437717052
524	0.4436349762
525	0.4433773769
526	0.4433015116
527	0.4431492666
528	0.4430008792
529	0.4428512488
530	0.4426847736
531	0.4424757368
532	0.4422345965
533	0.4420557772
534	0.441815237
535	0.4414944167
536	0.441318512
537	0.4412110147
538	0.4409740319
539	0.4407850115
540	0.4406742996
541	0.4405316985
542	0.440477607
543	0.4404528329
544	0.4403470072
545	0.4402121212
546	0.4398140211
547	0.439743342
548	0.4394656406
549	0.4392766631
550	0.4392238145
551	0.4390956579
552	0.4389606004
553	0.4389543855
554	0.4387831956
555	0.4386531958
556	0.4384686759
557	0.4380653467
558	0.4379156734
559	0.4376810481
560	0.437501243
561	0.4374156909
562	0.4371961101
563	0.4370645673
564	0.4370335783
565	0.4370290349
566	0.4368058108
567	0.4365645848
568	0.4364624023
569	0.4363271306
570	0.4361184795
571	0.435789044
572	0.4355187577
573	0.4353699416
574	0.4352201397
575	0.4349418812
576	0.4346415059
577	0.4345228217
578	0.4343203427
579	0.434157468
580	0.4338647221
581	0.433698247
582	0.4335627609
583	0.4334471199
584	0.4332608855
585	0.4330547204
586	0.4328009788
587	0.4327101547
588	0.4324292815
589	0.4322844945
590	0.4320950883
591	0.4318465329
592	0.4317870837
593	0.4316745287
594	0.4315670313
595	0.4314678492
596	0.4312866725
597	0.4311545297
598	0.4310464752
599	0.4309616089
600	0.4308562547
601	0.4306844218
602	0.4306190576
603	0.4304515539
604	0.4303865754
605	0.430324683
606	0.430196012
607	0.4296094059
608	0.4293622649
609	0.4292522816
610	0.4289911677
611	0.4287849598
612	0.4286520454
613	0.4284571101
614	0.4281419047
615	0.4280878989
616	0.4279760296
617	0.4278296996
618	0.4276808835
619	0.4274771187
620	0.4272464366
621	0.4270876767
622	0.4270244556
623	0.426790216
624	0.4266514725
625	0.4265135862
626	0.426375957
627	0.4261738638
628	0.4258011379
629	0.4253996517
630	0.4250782742
631	0.4249062699
632	0.4246804312
633	0.4246341405
634	0.424474309
635	0.4242558854
636	0.4241414445
637	0.4239070764
638	0.4236501629
639	0.4235744262
640	0.4233764906
641	0.4233334145
642	0.4230304675
643	0.4229353144
644	0.4226557699
645	0.422270957
646	0.422004614
647	0.4218314524
648	0.4216332596
649	0.4212636198
650	0.4207108315
651	0.4206320088
652	0.4204068988
653	0.4202784849
654	0.4201809315
655	0.4200163852
656	0.4197054659
657	0.4193805309
658	0.4192643755
659	0.4190256783
660	0.4188346434
661	0.418541769
662	0.4183484195
663	0.4182367218
664	0.4181109653
665	0.4180129405
666	0.4177205804
667	0.4175410753
668	0.417459295
669	0.4171177725
670	0.4169702851
671	0.4167758213
672	0.4165254229
673	0.4162623373
674	0.4161343521
675	0.4158080883
676	0.4156483854
677	0.4154235326
678	0.4151811064
679	0.4148998475
680	0.4147987366
681	0.4147004545
682	0.4144887603
683	0.4143132842
684	0.4142030866
685	0.4140691007
686	0.4140552992
687	0.4139746762
688	0.4138092727
689	0.4135743902
690	0.4134451191
691	0.4133905561
692	0.4132050075
693	0.413024388
694	0.4128049358
695	0.4126947382
696	0.4126656779
697	0.4123931199
698	0.4122025136
699	0.4120887156
700	0.4118010703
701	0.4115213116
702	0.4110770922
703	0.4109690805
704	0.4108823283
705	0.4107510856
706	0.410544449
707	0.4103950758
708	0.4102256003
709	0.4097965541
710	0.4095931321
711	0.4093169309
712	0.4090784909
713	0.4089767799
714	0.4089006145
715	0.4087186663
716	0.4085726792
717	0.4084870413
718	0.4083354821
719	0.4082553306
720	0.4080268346
721	0.4077919949
722	0.4076203764
723	0.407311686
724	0.4068643806
725	0.4067868008
726	0.4065081993
727	0.4064337055
728	0.4063593404
729	0.4062090242
730	0.4060335909
731	0.4058881181
732	0.405737459
733	0.4056612079
734	0.4054625865
735	0.4052174172
736	0.4050523136
737	0.4048806523
738	0.4046352258
739	0.4042721009
740	0.4040168162
741	0.4039303212
742	0.4035870841
743	0.4033909487
744	0.4033675033
745	0.4030871873
746	0.4029529014
747	0.4027010457
748	0.4024449466
749	0.4023775251
750	0.4022731567
751	0.4021924051
752	0.4020127714
753	0.4018178361
754	0.401634945
755	0.4015197325
756	0.4013462281
757	0.4012728059
758	0.4010909863
759	0.4008959652
760	0.40074192
761	0.4006097344
762	0.4003339617
763	0.400022571
764	0.399828793
765	0.3997777446
766	0.3995064725
767	0.3993880025
768	0.3990502947
769	0.3989307961
770	0.39871593
771	0.3984856338
772	0.3982789543
773	0.3982194193
774	0.398004039
775	0.3977393247
776	0.3975218869
777	0.3974764963
778	0.3972287982
779	0.3969564116
780	0.3968727026
781	0.39665025
782	0.3966261617
783	0.3963368448
784	0.3959963081
785	0.3959675907
786	0.3957550392
787	0.3956474133
788	0.3956115808
789	0.3953945717
790	0.3951694188
791	0.3950783376
792	0.3948489843
793	0.3947774051
794	0.3947343719
795	0.394540851
796	0.3942920813
797	0.3942205022
798	0.3940086793
799	0.3937060324
800	0.3934041998
801	0.3931847905
802	0.3929685957
803	0.3927575444
804	0.3927070103
805	0.3925547225
806	0.3924629983
807	0.3922625767
808	0.3921795963
809	0.3920321947
810	0.3917515787
811	0.391602334
812	0.391402341
813	0.3912536964
814	0.3911200534
815	0.3908568393
816	0.390642059
817	0.390404862
818	0.3899887171
819	0.3899275105
820	0.3896638677
821	0.3894201557
822	0.3893315605
823	0.3890727182
824	0.3890038822
825	0.3886656172
826	0.388439007
827	0.3882303988
828	0.3880379495
829	0.3877936374
830	0.3877308878
831	0.3876740102
832	0.3874373275
833	0.3874125106
834	0.3870027521
835	0.3868941832
836	0.3867384236
837	0.3866320835
838	0.3863598256
839	0.3862912467
840	0.3861094271
841	0.3859180065
842	0.3857188707
843	0.3855079908
844	0.3854552708
845	0.3853440874
846	0.3850813448
847	0.384903297
848	0.3847099904
849	0.3846067364
850	0.3843994998
851	0.3842502123
852	0.3841901629
853	0.3840870375
854	0.3838280238
855	0.3835503225
856	0.3834981597
857	0.3832825221
858	0.3830339239
859	0.3827905548
860	0.3825263548
861	0.3823278191
862	0.3822960157
863	0.3821013376
864	0.3819245756
865	0.3816078272
866	0.3815407914
867	0.3814158065
868	0.381307109
869	0.3810988866
870	0.3808948645
871	0.3805762302
872	0.380368522
873	0.3801118229
874	0.3799928387
875	0.3798210487
876	0.3796517447
877	0.3794698822
878	0.3792217126
879	0.3788948059
880	0.378777579
881	0.3787034281
882	0.3783431321
883	0.378153083
884	0.3780142538
885	0.377723951
886	0.377634027
887	0.3774201468
888	0.3770731808
889	0.3769902862
890	0.3769037054
891	0.3767096702
892	0.3766266041
893	0.3763297435
894	0.3762805382
895	0.3761363083
896	0.3756311395
897	0.3755290428
898	0.3753702399
899	0.3751745331
900	0.3750351466
901	0.3748548272
902	0.3745977852
903	0.3743979208
904	0.3740749573
905	0.3738765931
906	0.373769953
907	0.3736625414
908	0.3735965772
909	0.3733892977
910	0.3733355061
911	0.3730022988
912	0.3728494537
913	0.3726772351
914	0.3725015447
915	0.3723168962
916	0.372160065
917	0.3720116776
918	0.3717257896
919	0.3714417875
920	0.3712097339
921	0.371023971
922	0.3707757157
923	0.3707025935
924	0.3705929531
925	0.3704283211
926	0.3701886381
927	0.3700672964
928	0.3699861162
929	0.369838586
930	0.3696895985
931	0.3694091111
932	0.3692578519
933	0.3690128112
934	0.3686282983
935	0.3684091461
936	0.3681347451
937	0.3680581082
938	0.3679757279
939	0.3678403704
940	0.3676686233
941	0.3674477566
942	0.3672660228
943	0.3672106454
944	0.3669663333
945	0.3667269075
946	0.3665185135
947	0.3663341222
948	0.3662663578
949	0.366032804
950	0.3658708294
951	0.3656537345
952	0.3654524128
953	0.3652708075
954	0.3650941313
955	0.3650222093
956	0.3647360641
957	0.3645402715
958	0.3644483759
959	0.3644128864
960	0.3641920625
961	0.3640042423
962	0.3637291555
963	0.3635074744
964	0.3634404386
965	0.363286822
966	0.3630806998
967	0.3630547256
968	0.3628218576
969	0.3626266222
970	0.3624584327
971	0.3624213572
972	0.3622589111
973	0.3619874676
974	0.3618734124
975	0.3617243392
976	0.3616870494
977	0.3614554244
978	0.3611985967
979	0.3611205883
980	0.3609539418
981	0.3607035433
982	0.3606449513
983	0.3603719647
984	0.3601453974
985	0.3599615633
986	0.3597895161
987	0.3596135257
988	0.3593698994
989	0.3592335562
990	0.3591917231
991	0.3590368207
992	0.3588159968
993	0.3587253228
994	0.3584321697
995	0.3582530932
996	0.3580569578
997	0.3578508784
998	0.357611174
999	0.3573084413
